name,price,shop,sku,shop_type,detail_url,image_url,comment_num,tag
爱心东东	曼迪卡威（Mdikawe）全自动帐篷户外露营帐篷装备全套4-6人防风防雨公园天幕免搭遮阳 两门两窗银胶绿-3到4人高配9件套,419.0,曼迪卡威旗舰店,10055217003459,非自营,https://item.jd.com/10055217003459.html,//img14.360buyimg.com/n7/jfs/t1/104520/27/40284/128093/64b43002Ff460f4ce/0a7d7b4125ac9ad4.jpg,10000,户外
paulone 40倍手持式双灯光电LED灯放大镜 玉器古董字画鉴定MG6B-1B,13.8,paulone维氏京东自营专区,1872445,自营,https://item.jd.com/1872445.html,//img10.360buyimg.com/n7/jfs/t3208/79/7796937161/43965/4e632ffb/58ba612fNf1e06bb4.jpg,10000,户外
得力（deli） 露营折叠收纳车载便携轻量双侧开门装备餐具杂物收纳箱50L暖色,169.0,得力（deli）户外京东自营旗舰店,100051340705,自营,https://item.jd.com/100051340705.html,//img10.360buyimg.com/n7/jfs/t1/139834/33/32006/177677/637c9955E30070e56/4df8d7556c9fe30d.jpg,200,户外
LAFUMA乐飞叶女士冲锋衣 2023秋季户外硬壳夹克单层防水防风 LFJA3CS60 土黄色OC 165/84A（38）,2059.0,LAFUMA官方旗舰店,10079642298501,非自营,https://item.jd.com/10079642298501.html,//img11.360buyimg.com/n7/jfs/t1/115003/2/37085/73048/64b0f292F33878a29/f81398a22689d797.jpg,0,户外
NatureHike挪客自动充气床垫 户外露营睡垫防潮垫 便携式气垫床单人双人三人 双人-香槟棕（含内置气泵）,399.0,NatureHike途旷专卖店,10071842190954,非自营,https://item.jd.com/10071842190954.html,//img14.360buyimg.com/n7/jfs/t1/132009/8/33641/111623/64b2d25bF2f13a94c/1ac8d4f399cb26e6.jpg,1000,户外
伯希和户外露营挂钩扣多用途钥匙扣水杯挂钩【2只装】橙色小号16106403,4.0,伯希和（Pelliot）京东自营旗舰店,100032234736,自营,https://item.jd.com/100032234736.html,//img11.360buyimg.com/n7/jfs/t1/110590/33/41693/92873/6491b5c4Fe4fad9a0/4ff5044508a6b565.jpg,5000,户外
原始人（The Primitive）充气沙发户外露营懒人空气单人便携式野营音乐节气垫床坐 加长Happy笑脸【配收纳袋】,49.8,原始人旗舰店,10074287929766,非自营,https://item.jd.com/10074287929766.html,//img11.360buyimg.com/n7/jfs/t1/198652/29/31647/162423/64b4a2a2F7c0b61b2/ea6c2a98d92d18c7.jpg,200,户外
牧高笛（MOBIGARDEN）折叠椅 户外露营带头枕可调节坐躺两用乐享躺椅 NX22665036 沙黄,179.0,牧高笛京东自营旗舰店,100050588818,自营,https://item.jd.com/100050588818.html,//img13.360buyimg.com/n7/jfs/t1/182184/6/35267/143346/64b4bf13F456beaa3/c1784ff1b25674e0.jpg,500,户外
得力（deli） 野餐垫户外加厚防潮垫牛津布便携帐篷垫子沙滩垫 大号DL556202,52.0,得力（deli）户外京东自营旗舰店,100020649708,自营,https://item.jd.com/100020649708.html,//img13.360buyimg.com/n7/jfs/t1/55423/21/21473/598856/62da6dbdE719507ce/384ee834c32d0425.jpg,100000,户外
伯希和冲锋衣男女三合一夏季户外防水硬壳情侣外套登山服12040106粉L,719.0,伯希和（Pelliot）京东自营旗舰店,100016516796,自营,https://item.jd.com/100016516796.html,//img11.360buyimg.com/n7/jfs/t1/219869/17/31994/81132/64b3904bF332ebd14/a613c789bd49030a.jpg,20000,户外
